228-302-3,0.00018835591306,0,228,302,3,0.583979387611,0.100503358535,0.100503358535,0.100503358535,0.362150068203,2,166.5,11355,34463,29808,1689,15.4304976173,3.98402880489,8.20433119845,0.332423043719,6.98881495679,66,75.5303030303,1916.89393939
21591-1179-228,0.00101485897359,0,21591,1179,228,90.4565058494,25.7982917525,5.70932864827,1.11115882218,5.17662002447,369,18.4429708223,1330.36604775,39262,848,1610,40.4950207027,8.9436069153,3.22767690032,0.564342728903,1.07032070863,163,132.030674847,2931.51533742
7310-1215-101,0.000127986348123,0,7310,1215,101,25.5036444818,9.55634744251,5.36151928351,0.591205606947,3.58971842047,95,68.9278350515,5999.89690722,3622,482,206,0.734695580988,0.354378899279,0.603202316762,0.100503358535,0.603202316762,3,10.3333333333,277.333333333
20-7-2,0.000127986348123,0,20,7,2,7.69082373179,0.277305640849,1.33150797971,0.100503358535,2.83062680131,6,2,96.1666666667,19562,17637,278,572.874855518,390.2936809,27.5520404128,7.16755674559,32.1019061639,1762,23.4692957746,1395.8456338
45589-862-2641,0.00137935153311,1,45589,862,2641,148.854279232,36.998883856,27.8817679309,3.33349180419,23.8612817152,551,127.404293381,2833.84794275,7554,1711,181,21.6018659681,3.58166112737,6.76465704261,1.11972669857,4.56324632433,85,48.5,1993.62790698
285735-276251-3417,0.000529819226496,0,285735,276251,3417,19.3275815086,7.29201558065,0.100503358535,0.100503358535,0.100503358535,60,44.8064516129,4144.25806452,11147,1500,474,40.5925124122,5.92300880671,19.6480644548,1.86176520715,12.2610292136,128,107.431818182,2481.13636364
285735-276251-3417,0.000529819226496,0,285735,276251,3417,19.3275815086,7.29201558065,0.100503358535,0.100503358535,0.100503358535,60,44.8064516129,4144.25806452,185616,1001,15117,266.013873916,54.3452304246,13.1119037493,0.334765666801,13.6651725665,928,172.986228814,5321.64618644
9512-12-213,0.000181171286642,1,9512,12,213,52.1670684554,23.1822884278,0.362150068203,0.100503358535,6.80604525921,195,11.6785714286,564.040816327,8120,710,959,7.36864290244,2.08837479699,1.59879785994,0.595812012439,1.33284944416,29,205.533333333,4302.46666667
2273871-4524-11946,0.00143059411374,1,2273871,4524,11946,6782.40533805,2944.52424508,12.9557232877,2.79186097666,66.2062083002,21678,6.8593643121,1113.2020156,298668,551,6209,493.256379358,206.660552171,4.11521228104,0.854539102098,3.07546280949,2021,75.9700980392,3865.44656863
182598-1402-3831,0.00145144108195,0,182598,1402,3831,145.844909693,74.002957632,23.5491892963,0.100503358535,15.9532425551,567,276.496515679,8038.06620209,117913,1299,9950,189.755229794,67.3102230393,11.2948306946,2.56726916744,10.9337661034,791,185.542032622,5535.93977415
